Project Name;Ticket;Priority;Severity;Category;Status;Opening Date;Date of Resolution;Acknowledge SLA;Resolution SLA;Application;Environment;MD's;Problem;Country;Close Date;Closed Admin;SM Audit;
Chanel;0107645;P2;incident;Application;closed;2026-01-23;2026-01-28 15:09:43;0;0;Xstore;PRD;0,31;107848;N/A;2026-02-05 09:02:41;Y;;
Chanel;0107762;P2;incident;Integration;closed;2026-01-26;2026-01-28 19:55:54;0;0;RCIB;PRD;0,59;107866;N/A;2026-02-05 09:02:42;Y;;
Chanel;0107837;P2;user_request;Application;closed;2026-01-28;2026-02-25 10:05:51;0;0;RCIB;PRD;0,00;;N/A;2026-03-05 09:03:48;Y;;
Chanel;0107848;P2;problem;Application;closed;2026-01-28;2026-01-28 15:09:40;0;0;Xstore;PRD;0,00;;N/A;2026-03-21 09:03:57;N;;
Chanel;0107866;P2;problem;Integration;assigned_for_analysis;2026-01-28;;0;;RCIB;PRD;0,28;;N/A;;N;;
Chanel;0107968;P2;problem;Application;closed;2026-01-30;2026-03-23 22:51:15;0;0;Xstore;PRD;2,66;;N/A;2026-05-09 09:05:09;N;;
Chanel;0107994;P2;incident;Integration;closed;2026-01-30;2026-02-02 17:40:49;0;0;RCIB;PRD;0,25;107866;N/A;2026-02-10 09:02:47;Y;;
Chanel;0108150;P2;change_request;Application;closed;2026-02-03;;0;0;Xstore;PRD;0,00;;N/A;2026-02-04 13:02:38;N;;
Chanel;0108334;P2;user_request;Integration;closed;2026-02-06;2026-02-11 12:32:23;0;0;RCIB;PRD;0,28;;N/A;2026-02-19 09:02:45;Y;;
Chanel;0108667;P2;incident;Application;closed;2026-02-13;2026-02-13 23:55:31;0;0;Xstore;PRD;0,53;108697;N/A;2026-02-21 09:02:44;Y;;
Chanel;0108697;P2;problem;Application;closed;2026-02-13;2026-02-13 23:56:04;0;0;Xstore;PRD;0,00;;N/A;2026-04-04 09:04:23;N;;
Chanel;0108708;P1;incident;Integration;closed;2026-02-14;2026-02-19 11:11:35;0;2;RCIB;PRD;0,16;108775;N/A;2026-02-24 09:02:42;Y;;
Chanel;0108775;P1;problem;Integration;closed;2026-02-16;2026-02-16 15:51:56;0;9;RCIB;PRD;0,00;;N/A;2026-04-04 09:04:14;N;;
Chanel;0108791;P2;problem;Application;closed;2026-02-16;2026-03-13 15:23:33;0;0;XOffice;PRD;0,44;;N/A;2026-05-02 09:05:23;N;;
Chanel;0109067;P2;internal;Application;rejected;2026-02-23;;0;;XOffice;PRD;0,06;;N/A;;N;;
Chanel;0109170;P2;incident;Integration;closed;2026-02-24;;0;0;RCIB;PRD;0,41;;N/A;2026-03-04 09:03:45;Y;;
Chanel;0109292;P1;incident;Application;closed;2026-02-26;2026-02-27 00:55:57;0;47;XOffice;PRD;0,38;105147;N/A;2026-03-07 09:03:46;Y;;
Chanel;0109535;P2;incident;Integration;closed;2026-03-03;2026-03-05 20:09:00;0;0;RCIB;PRD;0,41;109706;N/A;2026-03-13 09:03:42;Y;;
Chanel;0109706;P2;problem;Integration;waiting_client_feedback;2026-03-05;;0;;RCIB;PRD;0,69;;N/A;;N;;
Chanel;0109711;P2;incident;Integration;closed;2026-03-05;2026-03-10 10:34:45;0;0;RCIB;PRD;0,69;109716;N/A;2026-03-18 09:03:44;Y;;
Chanel;0109716;P2;problem;Integration;closed;2026-03-05;2026-03-05 23:24:42;0;0;RCIB;PRD;0,00;;N/A;2026-04-25 09:04:41;N;;
Chanel;0109884;P2;user_request;Integration;acknowledged;2026-03-10;;;;Internal;PRD;0,22;;N/A;;N;;
Chanel;0109887;P3;user_request;Application;rejected;2026-03-10;;0;;Xstore;PRD;0,00;;N/A;;N;;
Chanel;0109947;P3;user_request;Application;closed;2026-03-11;2026-03-13 18:23:11;0;0;Xstore;PRD;0,13;;N/A;2026-03-21 09:03:42;Y;;
Chanel;0109957;P3;incident;Integration;closed;2026-03-11;2026-03-17 12:37:39;0;0;RCIB;PRD;0,59;110260;N/A;2026-03-25 09:03:45;Y;;
Chanel;0109992;P2;incident;Integration;closed;2026-03-11;2026-03-12 10:07:44;0;0;Internal;PRD;0,00;110003;N/A;2026-03-16 09:03:03;N;;
Chanel;0110003;P2;problem;Integration;resolved;2026-03-12;2026-03-25 09:45:00;0;;Internal;PRD;0,03;;N/A;;N;;
Chanel;0110123;P3;incident;Application;closed;2026-03-13;;0;0;Xstore;PRD;0,38;;N/A;2026-03-22 09:03:49;Y;;
Chanel;0110238;P3;incident;Application;closed;2026-03-16;2026-03-19 14:55:22;0;0;Xstore;PRD;0,44;110407;N/A;2026-03-27 09:03:36;Y;;
Chanel;0110277;P3;user_request;Integration;closed;2026-03-17;;0;0;Internal;PRD;0,25;;N/A;2026-04-01 09:04:43;Y;;
Chanel;0110349;P4;;Application;resolved;2026-03-18;2026-04-01 11:22:37;0;;Internal;PRD;0,00;;N/A;;N;;
Chanel;0110407;P3;problem;Application;closed;2026-03-19;2026-03-19 14:56:08;0;0;RCIB;PRD;0,00;;N/A;2026-05-06 13:05:03;N;;
Chanel;0110422;P3;incident;Application;closed;2026-03-19;;0;0;Xstore;PRD;0,44;;N/A;2026-03-28 09:03:51;Y;;
Chanel;0110468;P3;user_request;Application;closed;2026-03-20;;0;0;Xstore;PRD;0,28;;N/A;2026-04-23 09:04:35;Y;;
Chanel;0110501;P2;incident;Application;closed;2026-03-22;2026-03-23 22:48:31;0;0;XOffice;PRD;0,13;110573;N/A;2026-03-31 09:03:45;Y;;
Chanel;0110609;P2;internal;Support;closed;2026-03-24;2026-03-24 18:03:59;0;0;Tools;PRD;0,31;;N/A;2026-03-28 09:03:09;N;;
Chanel;0110633;P3;incident;Integration;closed;2026-03-24;2026-03-30 10:59:25;0;0;RCIB;PRD;0,38;110873;N/A;2026-04-07 09:04:50;Y;;
Chanel;0110693;P2;incident;Application;closed;2026-03-25;;0;0;Xstore;PRD;0,31;;N/A;2026-04-02 09:04:57;Y;;
Chanel;0110724;P2;incident;Integration;closed;2026-03-26;2026-03-30 11:18:32;0;0;RCIB;PRD;0,56;84849;N/A;2026-03-30 14:03:00;N;;
Chanel;0110873;P3;problem;Integration;resolved;2026-03-30;2026-03-30 11:00:06;0;;RCIB;PRD;0,00;;N/A;;N;;
Chanel;0111025;P4;incident;Integration;closed;2026-04-01;2026-04-02 17:33:51;0;0;RCIB;PRD;0,16;111098;N/A;2026-04-10 09:04:52;Y;;
Chanel;0111035;P1;incident;Integration;closed;2026-04-01;2026-04-01 17:11:45;0;2;RCIB;PRD;0,41;111036;N/A;2026-04-09 09:04:46;Y;;
Chanel;0111036;P1;problem;Integration;waiting_for_prioritization;2026-04-01;;0;;RCIB;PRD;0,06;;N/A;;N;;
Chanel;0111098;P4;problem;Integration;resolved;2026-04-02;2026-04-09 08:54:28;0;;RCIB;PRD;0,00;;N/A;;N;;
Chanel;0111105;P3;incident;Integration;closed;2026-04-02;2026-04-09 11:51:48;0;0;RCIB;PRD;0,19;111355;N/A;2026-04-09 11:04:52;N;;
Chanel;0111355;P3;problem;Integration;waiting_for_prioritization;2026-04-09;;0;;RCIB;PRD;0,03;;N/A;;N;;
Chanel;0111357;P4;incident;Application;closed;2026-04-09;2026-04-15 15:21:52;0;0;Xstore;PRD;2,09;111582;N/A;2026-04-23 09:04:36;Y;;
Chanel;0111582;P4;problem;Integration;resolved;2026-04-14;2026-04-15 15:22:19;0;;Xstore;PRD;4,75;;N/A;;N;;
Chanel;0111679;P3;incident;Integration;closed;2026-04-16;2026-04-20 11:26:29;0;0;RCIB;PRD;0,09;111685;N/A;2026-04-28 09:04:37;Y;;
Chanel;0111685;P3;problem;Integration;resolved;2026-04-16;2026-04-16 18:41:39;0;;RCIB;PRD;0,25;;N/A;;N;;
Chanel;0111759;P2;incident;Application;waiting_client_feedback;2026-04-17;;0;;Xstore;PRD;0,44;;N/A;2026-04-25 09:04:36;Y;;
Chanel;0111875;P3;user_request;Support;closed;2026-04-20;;;;Tools;;0,13;;N/A;2026-04-29 09:04:41;Y;;
Chanel;0111941;P4;problem;Integration;resolved;2026-04-22;2026-04-23 15:09:00;;;RCIB;PRD;0,38;;N/A;;N;;
Chanel;0112019;P3;incident;Integration;closed;2026-04-23;2026-04-23 23:45:04;0;0;RCIB;PRD;0,25;112036;N/A;2026-05-01 09:05:38;Y;;
Chanel;0112036;P4;problem;Integration;resolved;2026-04-23;2026-04-27 11:11:06;0;;RCIB;PRD;0,06;;N/A;;N;;
Chanel;0112287;P2;incident;Application;closed;2026-04-28;;0;0;Xstore;PRD;0,25;;N/A;2026-05-06 09:05:35;Y;;
Chanel;0112312;P3;user_request;Support;closed;2026-04-28;2026-04-29 15:39:58;0;0;Tools;PRD;0,09;;N/A;2026-05-07 09:05:39;Y;;
